insee,ville,lat,lon,date,pluiew_mean,tw_mean
41440,Gorges du Verdon,43.7496562,6.3285616,2025-10-06,0.39999999999999997,10.871428571428572
91960,Ariege,42.9455368,1.4065544,2025-10-06,1.4857142857142858,13.085714285714287
110690,Carcassonne,43.2130358,2.3491069,2025-10-06,0.38571428571428573,17.085714285714285
130010,Aix en Provence,43.5298424,5.4474738,2025-10-06,0.1285714285714286,15.592857142857143
130220,Cassis,43.2140359,5.5396318,2025-10-06,0.09999999999999999,17.792857142857144
130550,Marseille,43.2961743,5.3699525,2025-10-06,0.07142857142857142,18.007142857142856
140470,Bayeux,49.2764624,-0.7024738,2025-10-06,2.9714285714285715,14.364285714285716
173000,La Rochelle,46.159732,-1.1515951,2025-10-06,1.6,16.085714285714285
212310,Dijon,47.3215806,5.0414701,2025-10-06,1.6714285714285713,12.242857142857144
250560,Besancon,47.2380222,6.0243622,2025-10-06,4.071428571428572,11.921428571428573
300030,Aigues Mortes,43.5661521,4.19154,2025-10-06,0.0,17.635714285714286
301890,Nimes,43.8374249,4.3600687,2025-10-06,0.0,17.564285714285713
303340,Uzes,44.0121279,4.4196718,2025-10-06,0.0,15.457142857142857
315550,Toulouse,43.6044638,1.4442433,2025-10-06,0.6142857142857142,16.47142857142857
381850,Grenoble,45.1875602,5.7357819,2025-10-06,3.514285714285714,14.528571428571428
593500,Lille,50.6365654,3.0635282,2025-10-06,4.085714285714286,13.885714285714284
641020,Bayonne,43.4945144,-1.4736657,2025-10-06,2.1,17.257142857142856
660530,Collioure,42.52505,3.0831554,2025-10-06,0.014285714285714287,19.635714285714283
674820,Strasbourg,48.584614,7.7507127,2025-10-06,3.1571428571428575,11.764285714285714
680660,Colmar,48.0777517,7.3579641,2025-10-06,3.314285714285714,11.864285714285714
680780,Eguisheim,48.0447968,7.3079618,2025-10-06,3.242857142857143,11.607142857142858
682800,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-10-06,3.0285714285714285,11.25
691230,Lyon,45.7578137,4.8320114,2025-10-06,0.8571428571428571,14.342857142857143
740100,Annecy,45.8992348,6.1288847,2025-10-06,3.3285714285714283,11.0
751050,Paris,48.8534951,2.3483915,2025-10-06,2.8857142857142857,14.421428571428573
763510,Le Havre,49.4938975,0.1079732,2025-10-06,6.642857142857143,14.592857142857143
765400,Rouen,49.4404591,1.0939658,2025-10-06,5.642857142857143,14.392857142857142
800210,Amiens,49.8941708,2.2956951,2025-10-06,5.357142857142857,13.535714285714286
821210,Montauban,44.0175835,1.3549991,2025-10-06,0.6,15.75
830190,Bormes les Mimosas,43.1506968,6.3419285,2025-10-06,0.09999999999999999,16.757142857142856
840070,Avignon,43.9492493,4.8059012,2025-10-06,0.05714285714285715,15.614285714285714
1309651,Saintes Maries de la mer,43.4515922,4.4277202,2025-10-06,0.0,17.57857142857143
3528885,St Malo,48.649518,-2.0260409,2025-10-06,3.771428571428572,15.35
5035351,Mont Saint Michel,48.6359541,-1.51146,2025-10-06,5.3,14.264285714285714
6412251,Biarritz,43.4832523,-1.5592776,2025-10-06,2.1,17.135714285714286
